NO,DATE,TEMP,HUM,PM 1.0,PM 2.5,PM 10,CO2,HCHO,CO,NO2,RN,VOCs,O3,SO2,H2S,O2,NH3,AB,BattV,Heater,Blackout
21,2023-07-20_13:34:18,23.4,63.8,49.2,51.6,51.6,4291,0,0,0,0,33,0,0,0,336,0,0,0,0,0
22,2023-07-20_13:35:18,23.6,63.6,47.2,49.5,49.5,2928,0,0,0,0,254.5,0,0,0,343,0,0,0,0,0
23,2023-07-20_13:36:18,23.7,63.8,47.5,49.8,49.8,2539,0,0,0,0,316,0,0,0,347,0,0,0,0,0
24,2023-07-20_13:37:18,23.9,63.8,48.7,51,51,2194,0,0,0,0,378.4,0,0,0,355,0,0,0,0,0
25,2023-07-20_13:38:19,23.9,64.2,47.6,49.9,49.9,1845,0,0,0,0,307,0,0,0,359,0,0,0,0,0
26,2023-07-20_13:39:19,24,64.5,47.6,49.9,49.9,1680,0,0,0,0,369.3,0,0,0,365,0,0,0,0,0
27,2023-07-20_13:40:19,24.1,64.6,46.1,48.4,48.4,1447,0,0,0,0,306.8,0,0,0,366,0,0,0,0,0
28,2023-07-20_13:41:19,24.2,64.8,47.2,49.5,49.5,1220,0,0,0,0,306.7,0,0,0,386,0,0,0,0,0
29,2023-07-20_13:42:19,24.3,65.1,46.7,48.9,48.9,1094,0,0,0,0,351,0,0,0,375,0,0,0,0,0
30,2023-07-20_13:43:20,24.4,65.8,44.6,46.8,46.8,1004,0,0,0,0,333.1,0,0,0,384,0,0,0,0,0
31,2023-07-20_13:44:20,24.5,65.8,47.2,49.5,49.5,877,0,0,0,0,333,0,0,0,389,0,0,0,0,0
32,2023-07-20_13:45:20,24.7,65.3,43.2,45.3,45.3,814,0,0,0,0,315,0,0,0,391,0,0,0,0,0
33,2023-07-20_13:46:20,24.7,65.1,46.8,49.1,49.1,768,0,0,0,0,341.6,0,0,0,396,0,0,0,0,0
34,2023-07-20_13:47:20,24.9,65.1,45.5,47.7,47.7,730,0,0,0,0,332.6,0,0,0,402,0,0,0,0,0
35,2023-07-20_13:48:21,24.9,63.5,46.9,49.2,49.2,713,0,0,0,0,332.5,0,0,0,407,0,0,0,0,0
36,2023-07-20_13:49:21,25,62.4,45.3,47.5,47.5,1099,0,0,0,0,341.3,0,0,0,408,0,0,0,0,0
37,2023-07-20_13:50:21,25,60.6,44.1,46.3,46.3,2054,0,0,0,0,332.4,0,0,0,421,0,0,0,0,0
38,2023-07-20_13:51:21,25.1,58.6,42.5,44.5,44.5,2159,0,0,0,0,332.2,0,0,0,416,0,0,0,0,0
39,2023-07-20_13:52:21,25.2,57,43,45.1,45.1,2246,0,0,0,0,323.3,0,0,0,422,0,0,0,0,0
40,2023-07-20_13:53:22,25.3,56.1,43.3,45.4,45.4,2282,0,0,0,0,323.2,0,0,0,424,0,0,0,0,0
41,2023-07-20_13:54:22,20.2,54.3,41.1,43.1,43.1,2303,0,0,0,0,328.7,0,0,0,430,0,0,0,0,0
42,2023-07-20_13:55:22,25.3,53.8,43.2,45.3,45.3,2323,0,0,0,0,323.2,0,0,0,433,0,0,0,0,0
43,2023-07-20_13:56:22,25.3,53.6,41.4,43.5,43.5,2361,0,0,0,0,323.2,0,0,0,436,0,0,0,0,0
44,2023-07-20_13:57:22,25.3,54.9,40.8,42.7,42.7,2418,0,0,0,0,332.1,0,0,0,437,0,0,0,0,0
45,2023-07-20_13:58:23,25.3,56.2,43.4,45.5,45.5,2534,0,0,0,0,367.7,0,0,0,443,0,0,0,0,0
46,2023-07-20_13:59:23,25.3,57.3,43,45.1,45.1,2760,0,0,0,0,358.7,0,0,0,464,0,0,0,0,0
47,2023-07-20_14:00:23,25.3,58.4,44.1,46.3,46.3,2966,0,0,0,0,367.7,0,0,0,454,0,0,0,0,0
48,2023-07-20_14:01:23,25.3,59.4,43.4,45.5,45.5,3134,0,0,0,0,367.7,0,0,0,458,0,0,0,0,0
49,2023-07-20_14:02:24,25.3,59.6,42.2,44.3,44.3,3256,0,0,0,0,358.7,0,0,0,457,0,0,0,0,0
50,2023-07-20_14:03:24,25.4,57.9,42.8,44.9,44.9,3332,0,0,0,0,349.7,0,0,0,467,0,0,0,0,0
51,2023-07-20_14:04:24,25.5,56.1,41.8,43.8,43.8,3379,0,0,0,0,349.7,0,0,0,468,0,0,0,0,0
52,2023-07-20_14:05:24,25.5,55.3,43.9,46,46,3409,0,0,0,0,340.7,0,0,0,471,0,0,0,0,0
53,2023-07-20_14:06:24,20.4,55.1,39.5,41.4,41.4,3412,0,0,0,0,346.5,0,0,0,482,0,0,0,0,0
54,2023-07-20_14:07:25,25.5,54.7,40.7,42.7,42.7,3416,0,0,0,0,340.7,0,0,0,477,0,0,0,0,0
55,2023-07-20_14:08:25,25.5,54.3,42.5,44.6,44.6,3407,0,0,0,0,349.7,0,0,0,491,0,0,0,0,0
56,2023-07-20_14:09:25,25.5,55.3,41.9,43.9,43.9,3395,0,0,0,0,349.7,0,0,0,484,0,0,0,0,0
57,2023-07-20_14:10:25,25.4,56.3,40.9,42.9,42.9,3387,0,0,0,0,367.5,0,0,0,488,0,0,0,0,0
58,2023-07-20_14:11:25,25.4,57.1,42.4,44.5,44.5,3384,0,0,0,0,358.6,0,0,0,491,0,0,0,0,0
59,2023-07-20_14:12:26,25.5,57.7,41.2,43.2,43.2,3368,0,0,0,0,349.6,0,0,0,496,0,0,0,0,0
60,2023-07-20_14:13:26,25.6,58.5,41.5,43.5,43.5,3328,0,0,0,0,349.6,0,0,0,500,0,0,0,0,0
61,2023-07-20_14:14:26,25.6,59,39.5,41.4,41.4,2997,0,0,0,0,349.5,0,0,0,506,0,0,0,0,0
62,2023-07-20_14:15:26,25.6,58.9,43.7,45.8,45.8,2687,0,0,0,0,349.5,0,0,0,513,0,0,0,0,0
63,2023-07-20_14:16:26,25.7,59,42.9,45,45,2247,0,0,0,0,340.5,0,0,0,514,0,0,0,0,0
64,2023-07-20_15:36:47,24,68.6,46.7,49.5,50.1,580,0,0,0,0,8.2,0,0,0,263,0,0,0,0,0
65,2023-07-20_15:37:47,23.9,70.1,43.6,45.7,45.7,572,0,0,0,0,57.9,0,0,0,269,0,0,0,0,0
66,2023-07-20_15:38:47,23.8,69.7,42.4,44.5,44.6,579,0,0,0,0,159.2,0,0,0,274,0,0,0,0,0
67,2023-07-20_15:39:47,23.7,69.8,41.3,43.3,43.3,583,0,0,0,0,271.9,0,0,0,278,0,0,0,0,0
68,2023-07-20_15:40:48,23.6,70.3,39.9,41.9,41.9,647,0,0,0,0,280.8,0,0,0,282,0,0,0,0,0
69,2023-07-20_15:41:48,23.6,69,40.2,42.2,42.3,1522,0,0,0,0,307.3,0,0,0,285,0,0,0,0,0
